匿名编号,脱敏姓名,课程,数据周期,课程章节范围,2026-06-18签到,2026-06-20签到,2026-06-23签到,2026-06-25签到,2026-06-27签到,2026-06-30签到,2026-07-02签到,2026-07-04签到,2026-07-07签到,2026-07-09签到,2026-07-11签到,2026-07-14签到,签到次数,迟到次数,缺勤次数,签到率,课堂积极性,课堂积极性评分,作业1_Python基础,作业2_条件与循环,作业3_函数与模块,作业4_文件与异常,作业5_面向对象,作业平均分,满分
PY-001,脱敏学生01,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,12,0,0,1.0000,高,5,85,83,81,79,90,84,100
PY-002,脱敏学生02,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,缺勤,11,0,1,0.9167,高,4,79,90,88,86,84,85,100
PY-003,脱敏学生03,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,到课,缺勤,到课,迟到,到课,11,1,1,0.9167,高,5,86,84,82,80,78,82,100
PY-004,脱敏学生04,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,迟到,到课,到课,11,1,1,0.9167,高,4,80,78,89,87,85,84,100
PY-005,脱敏学生05,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,缺勤,到课,到课,到课,到课,到课,迟到,到课,到课,到课,11,1,1,0.9167,高,5,87,85,83,81,79,83,100
PY-006,脱敏学生06,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,迟到,到课,到课,到课,到课,12,1,0,1.0000,高,4,81,79,90,88,86,85,100
PY-007,脱敏学生07,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,缺勤,到课,到课,缺勤,到课,迟到,到课,缺勤,到课,到课,到课,9,1,3,0.7500,高,5,92,90,88,86,84,88,100
PY-008,脱敏学生08,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,迟到,到课,到课,到课,到课,缺勤,到课,11,1,1,0.9167,高,4,82,80,78,89,87,83,100
PY-009,脱敏学生09,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,迟到,到课,到课,缺勤,到课,到课,到课,到课,11,1,1,0.9167,高,5,89,87,85,83,81,85,100
PY-010,脱敏学生10,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,迟到,缺勤,到课,到课,到课,到课,到课,到课,到课,11,1,1,0.9167,高,4,83,81,79,90,88,84,100
PY-011,脱敏学生11,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,缺勤,迟到,到课,到课,到课,到课,到课,到课,到课,到课,到课,11,1,1,0.9167,高,5,90,88,86,84,82,86,100
PY-012,脱敏学生12,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,迟到,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,12,1,0,1.0000,高,4,84,82,80,78,89,83,100
PY-013,脱敏学生13,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,迟到,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,到课,12,1,0,1.0000,高,5,78,89,87,85,83,84,100
PY-014,脱敏学生14,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,到课,到课,缺勤,到课,到课,11,0,1,0.9167,高,4,85,83,81,79,90,84,100
PY-015,脱敏学生15,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,到课,迟到,11,1,1,0.9167,高,5,79,90,88,86,84,85,100
PY-016,脱敏学生16,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,迟到,到课,缺勤,到课,到课,到课,到课,到课,11,1,1,0.9167,高,4,74,72,70,68,66,70,100
PY-017,脱敏学生17,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,迟到,到课,到课,缺勤,到课,到课,到课,到课,到课,迟到,11,2,1,0.9167,中,3,68,66,77,75,73,72,100
PY-018,脱敏学生18,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,迟到,到课,到课,到课,缺勤,到课,到课,到课,到课,迟到,到课,到课,11,2,1,0.9167,高,4,75,73,71,69,67,71,100
PY-019,脱敏学生19,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,缺勤,到课,到课,到课,迟到,到课,到课,到课,到课,11,1,1,0.9167,中,3,69,67,78,76,74,73,100
PY-020,脱敏学生20,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,缺勤,到课,到课,迟到,到课,到课,到课,到课,到课,到课,11,1,1,0.9167,高,4,76,74,72,70,68,72,100
PY-021,脱敏学生21,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,缺勤,到课,迟到,到课,到课,到课,到课,到课,到课,到课,到课,11,1,1,0.9167,中,3,70,68,66,77,75,71,100
PY-022,脱敏学生22,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,缺勤,迟到,到课,到课,到课,到课,到课,到课,到课,到课,迟到,缺勤,10,2,2,0.8333,高,4,77,75,73,71,69,73,100
PY-023,脱敏学生23,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,到课,到课,迟到,到课,缺勤,到课,11,1,1,0.9167,低,2,62,60,58,69,67,63,100
PY-024,脱敏学生24,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,到课,迟到,到课,到课,缺勤,到课,到课,11,1,1,0.9167,高,4,78,76,74,72,70,74,100
PY-025,脱敏学生25,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,迟到,到课,到课,到课,缺勤,到课,到课,到课,11,1,1,0.9167,中,3,72,70,68,66,77,71,100
PY-026,脱敏学生26,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,迟到,到课,到课,到课,到课,缺勤,到课,到课,到课,迟到,11,2,1,0.9167,高,4,66,77,75,73,71,72,100
PY-027,脱敏学生27,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,迟到,到课,到课,到课,到课,到课,缺勤,到课,到课,迟到,到课,到课,11,2,1,0.9167,中,3,73,71,69,67,78,72,100
PY-028,脱敏学生28,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,缺勤,到课,迟到,到课,到课,到课,到课,11,1,1,0.9167,高,4,67,78,76,74,72,73,100
PY-029,脱敏学生29,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,缺勤,迟到,到课,到课,到课,到课,到课,到课,11,1,1,0.9167,中,3,74,72,70,68,66,70,100
PY-030,脱敏学生30,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,缺勤,到课,到课,到课,到课,到课,到课,到课,到课,11,0,1,0.9167,高,4,68,66,77,75,73,72,100
PY-031,脱敏学生31,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,缺勤,迟到,到课,到课,到课,到课,到课,缺勤,10,1,2,0.8333,低,1,60,58,56,54,52,56,100
PY-032,脱敏学生32,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,缺勤,迟到,到课,到课,到课,到课,到课,缺勤,到课,10,1,2,0.8333,低,1,54,52,63,61,59,58,100
PY-033,脱敏学生33,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,缺勤,迟到,到课,到课,到课,到课,到课,缺勤,到课,到课,10,1,2,0.8333,低,2,61,59,57,55,53,57,100
PY-034,脱敏学生34,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,缺勤,迟到,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,10,1,2,0.8333,低,1,55,53,51,62,60,56,100
PY-035,脱敏学生35,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,缺勤,迟到,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,到课,10,1,2,0.8333,低,1,62,60,58,56,54,58,100
PY-036,脱敏学生36,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,迟到,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,到课,到课,11,1,1,0.9167,低,2,56,54,52,63,61,57,100
PY-037,脱敏学生37,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,缺勤,到课,到课,到课,到课,到课,迟到,11,1,1,0.9167,低,1,63,61,59,57,55,59,100
PY-038,脱敏学生38,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,缺勤,迟到,到课,到课,到课,到课,迟到,缺勤,10,2,2,0.8333,高,5,53,51,49,51,62,53,100
PY-039,脱敏学生39,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,缺勤,到课,到课,到课,到课,到课,迟到,缺勤,到课,10,1,2,0.8333,低,2,51,62,60,58,56,57,100
PY-040,脱敏学生40,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,缺勤,到课,到课,到课,到课,到课,迟到,缺勤,到课,到课,10,1,2,0.8333,低,1,58,56,54,52,63,57,100
PY-041,脱敏学生41,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,缺勤,到课,到课,到课,到课,到课,迟到,缺勤,到课,到课,到课,10,1,2,0.8333,低,1,52,63,61,59,57,58,100
PY-042,脱敏学生42,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,缺勤,到课,到课,到课,到课,到课,迟到,缺勤,到课,到课,到课,到课,10,1,2,0.8333,低,2,59,57,55,53,51,55,100
PY-043,脱敏学生43,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,到课,迟到,缺勤,到课,到课,到课,到课,迟到,11,2,1,0.9167,低,1,53,51,62,60,58,57,100
PY-044,脱敏学生44,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,到课,迟到,缺勤,到课,到课,到课,到课,迟到,到课,11,2,1,0.9167,低,1,60,58,56,54,52,56,100
PY-045,脱敏学生45,Python程序设计,2026-06-18至2026-07-14,Python基础、流程控制、函数与模块、文件与异常、面向对象,到课,到课,到课,迟到,缺勤,到课,到课,到课,到课,迟到,到课,缺勤,10,2,2,0.8333,低,2,54,52,63,61,59,58,100
